sentence1,sentence2,score
A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,There are two white dogs and one brown dog chasing a ball.,0.56
A grey hound is active in a grassy field.,A bunch of bikes racing on a track.,0.0
Two people are racing a sidecar motorcycle in the mud.,The dog carrying a long stick in its mouth.,0.0
The man is sitting at the top of a rocky mountain.,A person sticks their head out of a tent at the top of a mountain.,0.48
A man standing on a boat is pulling another boat close by with a bamboo stick.,a man in a black hat standing in front of a brick wall and a sign,0.0
a man plays his white guitar.,a man playing a white guitar and singing as well,0.64
A person is skijoring with a dog in the mountains.,A brown dog is playing with a ball in the water.,0.0
Two shirtless young people playing in the water.,Lots of people play in the water at the beach.,0.48
Close-up of a hummingbird.,A closeup of a hummingbird flying.,0.72
Woman in a black dress walking on the street.,A woman watches a dog jump down the stairs.,0.16
A man and a woman looking at the camera.,A man and a woman laughing.,0.47
a brown dog running through the dirty muddy grass,The large brown dog is running outside in the dirt.,0.72
Three dogs pulling a man on a bicycle through the snow.,"The dogs are pulling a man on a type of bike, through the snow.",1.0
A baby in a red hat sitting in a stroller is holding a doll.,A man in a gray shirt sitting in a field of flowers.,0.0
"Three children playing with hay outdoors, throwing some at camera lens.","Three young children play in the hay, throwing some at the camera.",0.96
A climber is standing on the rock face next to the pink rope.,The children are running in the snow with fences in the background.,0.0
A black dog wearing an orange collar is entangled with fishing wire.,The black dog wearing a red collar shakes water off.,0.36
Two dogs are playing around in the dirt.,A dancer posing for the camera in a red and white dress.,0.0
A golden dog is running on the grass.,The large beige dog is running through the grass.,0.68
A dog runs through the grass.,a dog runs across the grass.,0.96
a man in red shorts is walking along rocks by a river carrying a stick.,A man is walking on rocks with water flowing around them.,0.68
Man rowing a boat.,a man doing a trick on skateboard,0.0
Three dogs running on a racetrack.,Three dogs round a bend at a racetrack.,0.96
A black and brown dog walks through the snow near a building.,An older man stands outside a old boarded up building.,0.16
A dog is jumping into a swimming pool after a duck.,A dog jumping into a swimming pool.,0.68
A dog running through a forest in the winter time,A dog running through a lot of twigs.,0.64
The girl is playing along with the images on the big screen.,Three girls holding umbrellas with their backs to the camera.,0.08
Many people run in a race on a street.,A puppy running along a street.,0.2
A man in swimming trunks is standing against some rocks.,A man in a gray shirt climbs a large rock wall.,0.2
Two white dogs walking in the snow.,A tan dog with a black collar barking in the snow.,0.4
A woman wearing a pink shirt jumps in the air with her arms and legs spread to her sides.,A man wearing suspenders and sunglasses leaps up in the air with his arms and legs spread out to the side.,0.48
A dog runs through the grass.,Two dogs run through the brush.,0.56
A dog running across the sand,A dog running through the water.,0.56
A woman is attempting to ride a small wave.,A man and woman sitting back to back outside in the sun.,0.0
The black and white dog is swimming in the river.,A black man and his dog on the beach.,0.12
Man standing on top of jagged rocks near the ocean.,A man is standing on top of rocks overlooking the ocean.,0.92
A girl in a black and blue wet suit is surfing.,A woman wearing a black and blue striped suit is surfing on a wave.,0.88
The woman is leading a dog through an obstacle course.,Woman leading her small dog through an obstacle course.,0.92
Two dogs on the beach.,A dog walks on the beach.,0.48
A young boy is standing on a gray tiled area.,A young boy is practicing his karate in a gym.,0.2
The dog is running with food in his mouth.,The dog is running with a yellow ball in his mouth.,0.44
Two dogs running down a beach.,two dogs running on the beach,0.96
A black and white dog swimming in the pool,A black and white dog running with something in his mouth.,0.4
A dog has it's head inside a red and green gift bag.,A pet playfully investigates the contents of a gift bag.,0.76
A yellow shirted man wearing a golden sun mask.,"A man in a yellow shirt wears a gold, sun-shaped mask.",1.0
A man is scalling a sheer rock face with a rope support.,A young man is doing a ski jump with a purple board.,0.08
A child with his hands on his head.,A little boy stands with his hands on top of his head,0.84
A man wearing a orange vest is canoeing in the blue water.,A man in an orange jacket raising his hands to the sky in the sand.,0.36
An old man in a black trench coat standing in a marketplace.,The baby is wearing a red shirt and walking in a plaza.,0.24
A man climbing a cliff face.,A man climbs a sheer cliff face.,0.96
Two girls are in pajama pants and appear to be dancing.,Two girls with baseball caps are eating a snack outside.,0.12
A white and brown dog playing with a black toy.,A white and brown dog is playing tug-o-war.,0.68
A boy plays baseball.,A man is playing baseball.,0.6
A boy wearing a red shirt runs across the grass with a furry dog.,A sports fan is wearing face paint in the stands.,0.0
A black dog retrieves in the snow.,A skateboarder jumping in the street.,0.0
A smiling man and a baby girl posing for photo.,A smiling man holds a small child wearing pink and red.,0.64
A dog jumping for a Frisbee in the snow.,A dog is jumping in the snow.,0.64
A brown and white dog with a pink collar is barking at a brown dog with a blue collar in the snow.,The dog with the red collar is bearing it's teeth at the dog with the blue collar.,0.68
Two brown dogs are biting each other.,Two brown dogs biting each other on sand.,0.84
A skateboarder attempts a trick on the side of a low wall.,A boy does skateboard tricks on a railing.,0.8
A young girl doing a back flip in the water.,a young girl wearing purple running through water,0.56
A snowboarder rides a snowboard down a railing beside a flight of steps.,A boy is grinding a skateboard down a concrete wall.,0.16
A woman with two men in hats socializing outside.,A young woman with a knit cap stands against the wall of a Domino's Pizza.,0.28
A small boy in a bathrobe is sitting in a metal chair.,A boy in a robe sits in a chair.,0.84
A black dog is running through the snow.,A black pit bull dog is running through the dirt.,0.44
a group of teenagers are dancing on a wooden floor.,A group of people in dark colored clothing are line dancing on a wooden floor.,0.68
A young boy is riding a bike.,A young girl laying on a blue inflatable toy,0.08
A black dog running in the snow.,A black dog running on a beach.,0.36
Three dogs in the snow by a fence.,Two dogs drink water in a lake.,0.2
A girl runs along a river bank with two black dogs.,A little boy is petting a tiger that is laying down.,0.04
"A teenage girl running on a beach shouting, with an older man walking behind her.",a young child running along the shore at a beach,0.36
A brown and white dog is walking next to a man on a skateboard.,A blond child is laying on a branch of a tree in a green field.,0.0
Man riding a surfboard on a wave.,A man in black on a surfboard riding a wave.,0.8
The man in the red shirt is climbing the side of a mountain.,A man is climbing the side of a mountain.,0.84
A man riding a motorcycle while wearing a black uniform.,A white motorcycle is being ridden around a race track.,0.28
a black dog swimming through a river.,a black dog digging through the snow.,0.24
A man and a woman are smiling.,A man and a woman laughing.,0.64
A man is standing on top of a rock or mountain watching the sun set.,A man standing in the mountains watching a sunset.,0.96
Two little girls are playing on a trampoline.,Two little boys are playing on a playground.,0.28
Two girls are jumping high in the air.,Two dogs nussle one another in the grass near a lake.,0.04
